BIMTypeCode;BIMTypeCode-Description;IfcTypeObject;PredefinedType;IfcGroup;IfcGroup-PredefinedType;CCS;FVK
0;Generiske objekter;;;;;;
01;Generiske objekter ARK;;;;;;
011;FRI;;;;;;
02;Generiske objekter KON;;;;;;
021;FRI;;;;;;
03;Generiske objekter VENT;;;;;;
031;FRI;;;;;;
04;Generiske objekter VVS;;;;;;
041;FRI;;;;;;
05;Generiske objekter EL;;;;;;
051;FRI;;;;;;
06;Generiske objekter LAND;;;;;;
061;FRI;;;;;;
07;Generiske objekter Entreprenør/Leverandør;;;;;;
071;FRI;;;;;;
09;"Generiske objekter, øvrigt";;;;;;
091;FRI;;;;;;
1;Bygningsbasis;;;;;;
10;Terræn;;;;;;
101;Forberedt grund;;;;;;
102;Byggegrube inkl. afstivning;;;;;;
103;Spunsvægge;IfcPileType;;;;;
104;- verkant -;;;;;;
105;Pæle;IfcPileType;;;;;
109;Øvrigt, Bygningsbasis i terræn;;;;;;
12;Fundamenter;;;;;;
121;Liniefundamenter;IfcFootingType;STRIP_FOOTING;;;;
122;Punktfundamenter;IfcFootingType;PAD_FOOTING;;;;
123;Pladefundamenter;IfcSlabType;BASESLAB;;;;
124;Opmurede fundamenter;IfcFootingType;USERDEFINED;;;;
125;Maskinfundamenter;IfcFootingType;USERDEFINED;;;;
126;Pælefundamenter og brøndfundamenter;IfcFootingType;PILE_CAP;;;;
127;- verkant -;;;;;;
129;Øvrigt, Fundamenter;;;;;;
13;Terrændæk;;;;;;
131;Terrændæk;IfcCoveringType;INSULATION;;;;
139;Øvrigt, Terrændæk;IfcCoveringType;USERDEFINED;;;;
19;Bygningsbasis, øvrige;;;;;;
191;Kanaler under terrændæk;IfcDistributionChamberElementType;USERDEFINED;;;;
192;Gruber og sumpe;IfcDistributionChamberElementType;SUMP;;;;
2;Primære bygningsdele;;;;;;
20;Primære bygningsdele, terræn;;;;;;
201;Hegnsmure;IfcWallType;SOLIDWALL;;;;
202;Støttemure;IfcWallType;SHEAR;;;;
203;Teknikgange;;;;;;
204;Fodgængerbroer, viadukter m.m.;;;;;;
205;Trapper i terræn;IfcStairType;;;;;
206;Ramper i terræn;IfcRampType;;;;;
209;Øvrigt, Primære bygningsdele i terræn;;;;;;
21;Ydervægge;;;;;;
211;Udvendige vægelementer;IfcWallType;SOLIDWALL;;;;
212;Udvendige pladsstøbte vægge;IfcWallType;SOLIDWALL;;;;
213;Udvendige opmurede vægge;IfcWallType;STANDARD;;;;
214;Udvendige skeletkonstruerede vægge;IfcWallType;PARTITIONING;;;;
215;Udvendige skeletkonstruerede vægskørter;IfcWallType;PARTITIONING;;;;
216;Udvendige facadesystemer;IfcCurtainWallType;USERDEFINED;;;;
217;Udvendige isoleringsvægsystemer;IfcCoveringType;INSULATION;;;;
218;Udvendige lyskasser;IfcElementAssemblyType;USERDEFINED;;;;
219;Øvrigt, Ydervægge;;;;;;
22;Indervægge;;;;;;
221;Indvendige vægelementer;IfcWallType;SOLIDWALL;;;;
222;Indvendige pladsstøbte vægge;IfcWallType;SOLIDWALL;;;;
223;Indvendige opmurede vægge;IfcWallType;STANDARD;;;;
224;Indvendige skeletkonstruerede vægge;IfcWallType;PARTITIONING;;;;
225;Indvendige skeletkonstruerede vægskørter;IfcWallType;PARTITIONING;;;;
226;Indvendige glasvægsystemer;IfcCurtainWallType;USERDEFINED;;;;
229;Øvrigt, Indervægge;;;;;;
23;Dæk;;;;;;
231;Dækelementer;;;;;;
232;Pladsstøbte dæk;IfcSlabType;FLOOR;;;;
233;Skeletkonstruerede dæk;IfcSlabType;FLOOR;;;;
234;Afretningslag;IfcSlabType;USERDEFINED;;;;
239;Øvrigt, Dæk;IfcSlabType;;;;;
24;Trapper og ramper;;;;;;
241;Elementtrapper;IfcStairType;;;;;
242;Pladsstøbte trapper;IfcStairType;;;;;
243;Sammensatte trapper;IfcStairType;;;;;
244;Element ramper;IfcRampType;;;;;
245;Pladsstøbte ramper;IfcRampType;;;;;
246;Sammensatte ramper;IfcRampType;;;;;
247;Faste stiger, lejdere og trin;IfcStairType;USERDEFINED;;;;
249;Øvrigt, Trapper og ramper;;;;;;
25;Bjælker og søjler;;;;;;
251;Elementbjælker;IfcBeamType;;;;;
252;Pladsstøbte bjælker;IfcBeamType;;;;;
253;Stålbjælker;IfcBeamType;;;;;
254;- verkant -;;;;;;
255;Elementsøjler;IfcColumnType;;;;;
256;Pladsstøbte søjler;IfcColumnType;;;;;
257;Stålsøjler;IfcColumnType;;;;;
259;Øvrigt, Bjælker og søjler;;;;;;
26;Altaner og altangange;;;;;;
261;Elementaltaner og altangange;;;;;;
262;Pladsstøbte altaner og altangange;;;;;;
263;Sammensatte altaner, altangange;IfcElementAssemblyType;USERDEFINED;;;;
269;Øvrigt, Altaner og altangange;;;;;;
27;Tage;;;;;;
271;Spærtage;IfcRoofType;;;;;
272;Tagkassetter;IfcRoofType;;;;;
273;Varme tage;IfcRoofType;;;;;
274;Glastagssystemer;IfcRoofType;;;;;
275;Mobile tage;IfcRoofType;USERDEFINED;;;;
276;Baldakiner og overdækninger;IfcShadingDeviceType;AWNING;;;;
279;Øvrigt, Tagværker;;;;;;
29;Primære bygningsdele, øvrige;;;;;;
3;Kompletterende bygningsdele;;;;;;
30;Kompletterende bygningsdele, terræn;;;;;;
301;Hegn, afskærmninger;;;;;;
302;Gelændere, rækværker og håndlister i terræn;IfcRailingType;HANDRAIL;;;;
303;Overgange i terræn;;;;;;
304;Kantbegrænsninger;;;;;;
305;Konstruerede elementer;;;;;;
309;Øvrigt terræn komplettering;;;;;;
31;Ydervægge, komplettering;;;;;;
311;Udvendige døre;IfcDoorType;DOOR;;;;
312;Udvendige vinduer;IfcWindowType;WINDOW;;;;
313;Udvendige døre, facadesystemer;IfcDoorType;DOOR;;;;
314;Udvendige vinduesopluk, facadesystemer;IfcWindowType;WINDOW;;;;
315;Udvendige ruder, blændfelter og karmprofiler, facadesystemer;;;;;;
316;Udvendige porte og karusseldøre;IfcDoorType;GATE;;;;
317;Udvendige afskærmninger;;;;;;
319;Øvrigt, Ydervægskompletteringer;;;;;;
32;Indervægge, komplettering;;;;;;
321;Indvendige døre;IfcDoorType;DOOR;;;;
322;Indvendige vinduer, luger og lemme;IfcWindowType;WINDOW;;;;
323;Indvendige døre, glasvægsystem;IfcDoorType;DOOR;;;;
324;Indvendige vinduesopluk, glasvægsystemer;IfcWindowType;WINDOW;;;;
325;Indvendige ruder, blændfelter og karmprofiler,glasvægsystemer;;;;;;
326;Indvendige porte og karruseldøre;IfcDoorType;GATE;;;;
327;Bevægelige indervægge;IfcWallType;MOVABLE;;;;
328;Indvendige, afskærmning;;;;;;
329;Øvrigt, Indervægskompletteringer;;;;;;
33;Dæk og gulve, komplettering;;;;;;
331;Opbyggede gulve;IfcCoveringType;FLOORING;;;;
332;Svømmende gulve;IfcCoveringType;FLOORING;;;;
333;Riste, måtterammer;IfcCoveringType;USERDEFINED;;;;
334;Støbte- og flydende gulve;IfcCoveringType;FLOORING;;;;
335;- verkant -;;;;;;
336;- verkant -;;;;;;
337;Gulvlemme;IfcDoorType;TRAPDOOR;;;;
